Index,Product ID,Product Title,Raw Description,Brand,Category,Target Language
1,dUgAunjw46,Clean Cooker Mouse Bicycle Sense,Clean Cooker Mouse Bicycle Sense by Warren-Delacruz is a waterproof; lightweight; compact product for customers shopping in Fragrances.,Lewis and Sons,Fragrances,Italian
2,lAAexIl0wk,Premium Phone Speaker Blender Digital,"Premium Phone Speaker Blender Digital by Casey, Woodward and Morrow is a wireless; lightweight; rechargeable product for customers shopping in Books & Stationery.",Bradford PLC,Books & Stationery,Spanish
3,W4I4MUUkGq,Clean Charger Lamp,"Clean Charger Lamp by Golden, Wilkerson and Patterson is a lightweight; waterproof product for customers shopping in Clothing & Apparel.","Moran, Villa and Wolf",Clothing & Apparel,Spanish
4,HoIE6JhWga,Compact Tablet Router Printer,Compact Tablet Router Printer by Duncan-Schmidt is a eco-friendly; premium; waterproof; wireless product for customers shopping in Skincare.,"Williamson, Fox and Mata",Skincare,Spanish
5,WR1Kiz7zJa,Silent Cooler Treadmill,Silent Cooler Treadmill by Reese-Hinton is a lightweight; rechargeable; portable; waterproof product for customers shopping in Office Supplies.,Mcfarland-Bradshaw,Office Supplies,French
6,ZI5tqUAjYu,Automatic Dock X Silent,Automatic Dock X Silent by Lucas Inc is a lightweight; eco-friendly product for customers shopping in Home Decor.,"Travis, Dunlap and Huff",Home Decor,Dutch
7,k4TBg5WNDr,Blender,"Blender by Webster, Andersen and Barnett is a compact; lightweight product for customers shopping in Office Supplies.","Howell, Chapman and Houston",Office Supplies,French
8,hKr4ipfHAt,Bicycle Clock Lamp,Bicycle Clock Lamp by Murray Group is a compact; premium product for customers shopping in Kitchen Appliances.,Conner Group,Kitchen Appliances,Portuguese
9,DBPA4rAUlO,Heater,Heater by Blanchard-Le is a wireless; eco-friendly; rechargeable product for customers shopping in Books & Stationery.,"Stanton, Burch and Harmon",Books & Stationery,Portuguese
10,pikL3ARbmm,Eco Drone Ultra One,Eco Drone Ultra One by Mclean-Kramer is a rechargeable; portable product for customers shopping in Kids' Clothing.,Riggs-Hodges,Kids' Clothing,Portuguese
11,eiUjOfxK0X,Thermostat Printer,"Thermostat Printer by Dennis, Lucero and Mcintosh is a premium; lightweight; wireless product for customers shopping in Cleaning Supplies.",Mcclure LLC,Cleaning Supplies,French
12,rx8z1KaZTM,Keyboard,"Keyboard by Knight Ltd is a waterproof; portable; rechargeable; eco-friendly product for customers shopping in Accessories (Bags, Hats, Belts).",Wyatt PLC,"Accessories (Bags, Hats, Belts)",German
13,8ame89AmcL,Silent Lock Touch Digital Air,Silent Lock Touch Digital Air by Turner-Sampson is a lightweight; wireless product for customers shopping in Grooming Tools.,"Durham, Riggs and Robertson",Grooming Tools,Dutch
14,cmShDz5DMJ,Mini Toaster Scanner Touch,Mini Toaster Scanner Touch by Knapp-Coffey is a eco-friendly; compact; portable; waterproof product for customers shopping in Fishing & Hunting.,"Orr, Santiago and Fox",Fishing & Hunting,Dutch
15,jNGAyDcBB3,Rechargeable Watch Camera,"Rechargeable Watch Camera by Barrera, Joseph and Dorsey is a premium; rechargeable product for customers shopping in Fragrances.",Pratt-Ayers,Fragrances,Portuguese
16,OdxUcw0fyA,Oven,Oven by Fitzpatrick and Sons is a compact; premium; rechargeable product for customers shopping in Cleaning Supplies.,Hebert-Glass,Cleaning Supplies,French
17,mNAjsb0imr,Silent Drone Air One Lite,Silent Drone Air One Lite by Randolph Inc is a portable; eco-friendly; waterproof; lightweight product for customers shopping in Haircare.,Avery LLC,Haircare,French
18,xDeS6HbjuA,Portable Mouse Smart,"Portable Mouse Smart by Mendez, Small and Gross is a eco-friendly; waterproof; rechargeable; portable product for customers shopping in Team Sports.","Santana, Bonilla and Owen",Team Sports,Italian
19,dUqkTmTnCE,Pro Webcam Trimmer Projector Fast Edge Silent,Pro Webcam Trimmer Projector Fast Edge Silent by Reynolds PLC is a lightweight; compact; eco-friendly product for customers shopping in Fitness Equipment.,"Knapp, House and Drake",Fitness Equipment,Portuguese
20,davbW797d0,Digital Tablet Powerbank Blender Air Edge Fast,Digital Tablet Powerbank Blender Air Edge Fast by Simpson-Bowen is a rechargeable; lightweight product for customers shopping in Cycling.,"Forbes, Brooks and Fields",Cycling,Dutch
21,xxOeuSCfZv,Trimmer,"Trimmer by Williams, Howell and Moore is a premium; wireless; waterproof; eco-friendly product for customers shopping in Women's Clothing.",Shelton Group,Women's Clothing,Portuguese
22,nyAp5AK790,Ultra Powerbank,Ultra Powerbank by Todd Ltd is a rechargeable; portable; compact product for customers shopping in Grooming Tools.,Perkins-Leblanc,Grooming Tools,Spanish
23,tZBhlMT4hj,Clean Vacuum Cooler Portable Fast,Clean Vacuum Cooler Portable Fast by Vasquez LLC is a rechargeable; waterproof; portable product for customers shopping in Women's Clothing.,"Farmer, Espinoza and Vega",Women's Clothing,Spanish
24,O8hXP8Ghjw,Thermostat Printer,"Thermostat Printer by Andrade, Hogan and Barry is a waterproof; lightweight; portable product for customers shopping in Clothing & Apparel.",Mcbride-Cobb,Clothing & Apparel,Spanish
25,DoXjmrVg2e,Clean Heater Toaster Stove Smart Air X,Clean Heater Toaster Stove Smart Air X by Higgins-Rowe is a wireless; premium; lightweight product for customers shopping in Shoes & Footwear.,Barrera Ltd,Shoes & Footwear,French
26,ae93UjIsbS,Mouse,"Mouse by Acosta, Michael and Hanson is a portable; premium; waterproof product for customers shopping in Clothing & Apparel.",Nixon Ltd,Clothing & Apparel,Dutch
27,ANQy9lykpA,Heater Stove Scanner,Heater Stove Scanner by Hawkins Inc is a wireless; rechargeable product for customers shopping in Fragrances.,"Hull, Nixon and Logan",Fragrances,Dutch
28,bp5oqhgvD6,Radio,Radio by Alvarez-Soto is a wireless; portable; compact product for customers shopping in Haircare.,"Harper, Jarvis and Bryant",Haircare,Portuguese
29,kRld52Wfie,Mini Fan Thermostat 360 360 Ultra,Mini Fan Thermostat 360 360 Ultra by Maxwell-Woodard is a rechargeable; premium; wireless; compact product for customers shopping in Sports & Outdoors.,Cobb Ltd,Sports & Outdoors,German
30,yqObMXH2NF,Mini Heater Thermostat,"Mini Heater Thermostat by Watkins, Mcintosh and Pugh is a compact; rechargeable; eco-friendly product for customers shopping in Health & Wellness.",Valdez-Melton,Health & Wellness,Dutch
31,KIafXUVUwD,Ultra Thermostat Drone Heater,Ultra Thermostat Drone Heater by Burnett-Sanders is a compact; portable product for customers shopping in Toys & Games.,"Higgins, Lopez and Sandoval",Toys & Games,German
32,9JeJMNOqRa,Automatic Scanner Edge Silent,"Automatic Scanner Edge Silent by Morrison, Hull and Pacheco is a lightweight; waterproof product for customers shopping in Skincare.",Mccarthy PLC,Skincare,Spanish
33,obnSK4EDyA,Rechargeable Blender Treadmill Tablet X Mini,Rechargeable Blender Treadmill Tablet X Mini by Gould-Klein is a lightweight; eco-friendly; wireless product for customers shopping in Camping & Hiking.,"Barnes, Arroyo and Beard",Camping & Hiking,Italian
34,RVcyxNpYZU,Camera Treadmill Heater,Camera Treadmill Heater by Lee-Levy is a premium; wireless product for customers shopping in Office Supplies.,"Mcknight, Moreno and Huffman",Office Supplies,Dutch
35,fdbPvXxHiK,Portable Fan Edge Automatic Advanced,Portable Fan Edge Automatic Advanced by Key PLC is a portable; waterproof product for customers shopping in Clothing & Apparel.,"Huerta, Velazquez and Glenn",Clothing & Apparel,Portuguese
36,sOVjFBVOoh,Wireless Mouse Charger,Wireless Mouse Charger by Massey-Hays is a lightweight; premium; wireless product for customers shopping in Clothing & Apparel.,Monroe and Sons,Clothing & Apparel,French
